x,f(x)
0.0,-1.0
0.01,-0.9895063936982316
0.02,-0.9780253950682714
0.03,-0.9655574644005757
0.04,-0.9521040337944454
0.05,-0.9376675046574827
0.060000000000000005,-0.9222512442481332
0.07,-0.9058595812646133
0.08,-0.8884978004844697
0.09,-0.870172136459952
0.09999999999999999,-0.8508897662753095
0.10999999999999999,-0.8306588013730539
0.11999999999999998,-0.8094882784571424
0.12999999999999998,-0.7873881494819509
0.13999999999999999,-0.7643692707368088
0.15,-0.7404433910367553
0.16,-0.7156231390310641
0.17,-0.6899220096419527
0.18000000000000002,-0.663354349646746
0.19000000000000003,-0.6359353424176173
0.20000000000000004,-0.6076809918338533
0.21000000000000005,-0.5786081053824121
0.22000000000000006,-0.5487342764633379
0.23000000000000007,-0.5180778659173874
0.24000000000000007,-0.48665798279398564
0.25000000000000006,-0.454494464378379
0.26000000000000006,-0.4216078554975858
0.2700000000000001,-0.38801938712545453
0.2800000000000001,-0.3537509543078337
0.2900000000000001,-0.3188250934295227
0.3000000000000001,-0.2832649588453302
0.3100000000000001,-0.24709429889818596
0.3200000000000001,-0.21033743134786326
0.3300000000000001,-0.17301921823444383
0.34000000000000014,-0.13516504020122283
0.35000000000000014,-0.09680077030227435
0.36000000000000015,-0.0579527473204175
0.37000000000000016,-0.01864774862179508
0.38000000000000017,0.02108703742625706
0.3900000000000002,0.06122403944694832
0.4000000000000002,0.10173533142786889
0.4100000000000002,0.1425926614490387
0.4200000000000002,0.18376748073693464
0.4300000000000002,0.2252309730159406
0.4400000000000002,0.2669540841283735
0.45000000000000023,0.3089075518939678
0.46000000000000024,0.35106193617947457
0.47000000000000025,0.3933876491488164
0.48000000000000026,0.43585498566406394
0.49000000000000027,0.4784341538073542
0.5000000000000002,0.5210953054937482
0.5100000000000002,0.5638085671449394
0.5200000000000002,0.6065440703936603
0.5300000000000002,0.6492719827886131
0.5400000000000003,0.6919625384697398
0.5500000000000003,0.7345860687836863
0.5600000000000003,0.7771130328093689
0.5700000000000003,0.8195140477636428
0.5800000000000003,0.8617599192571918
0.5900000000000003,0.9038216713709053
0.6000000000000003,0.9456705765231899
0.6100000000000003,0.9872781850988614
0.6200000000000003,1.028616354810513
0.6300000000000003,1.0696572797635049
0.6400000000000003,1.1103735191960253
0.6500000000000004,1.1507380258659883
0.6600000000000004,1.1907241740568828
0.6700000000000004,1.230305787175071
0.6800000000000004,1.269457164911427
0.6900000000000004,1.3081531099406454
0.7000000000000004,1.346368954132008
0.7100000000000004,1.3840805842458708
0.7200000000000004,1.4212644670906494
0.7300000000000004,1.4578976741156133
0.7400000000000004,1.4939579054153553
0.7500000000000004,1.5294235131223788
0.7600000000000005,1.564273524164868
0.7700000000000005,1.5984876623673046
0.7800000000000005,1.6320463698722798
0.7900000000000005,1.6649308278624821
0.8000000000000005,1.6971229765625717
0.8100000000000005,1.7286055345013285
0.8200000000000005,1.7593620170152198
0.8300000000000005,1.7893767539752687
0.8400000000000005,1.818634906719871
0.8500000000000005,1.8471224841770013
0.8600000000000005,1.874826358160044
0.8700000000000006,1.9017342778223014
0.8800000000000006,1.927834883256067
0.8900000000000006,1.9531177182229915
0.9000000000000006,1.9775732420033303
0.9100000000000006,2.0011928403525348
0.9200000000000006,2.0239688355545242
0.9300000000000006,2.0458944955618756
0.9400000000000006,2.066964042214065
0.9500000000000006,2.0871726585258115
0.9600000000000006,2.106516495038482
0.9700000000000006,2.124992675228458
0.9800000000000006,2.1425992999672814
0.9900000000000007,2.1593354510293405
